Date,Longitude,Latitude,MP
2007-11-01,-58.5,10.5,-3.147068144
2009-02-01,-145.5,-12,-3.146083879
2012-06-01,-69,41,-3.145963889
2008-10-01,-114,25.5,-3.145499038
2004-08-01,-69,41.5,-3.145357803
2007-12-01,-134.5,-3,-3.143730995
2011-03-01,-84.5,-33,-3.139863439
2006-04-01,-160.5,4,-3.13917739
2003-03-01,-142,-8.5,-3.137434515
2006-03-01,-158.5,16.5,-3.136777376
2012-05-01,-159,15,-3.13475736
2011-08-01,-45,45.5,-3.13380312
1998-12-01,-84,17.5,-3.129818655
1998-02-01,-68,22,-3.129818655
2012-02-01,-147,-14.5,-3.129409419
2004-10-01,-119,33.5,-3.12931042
2001-12-01,-116,-7,-3.129195209
2002-07-01,-70,42,-3.129030461
2008-11-01,-59.5,17.5,-3.128179282
2011-06-01,-158.5,16,-3.127692323
2009-12-01,-69,16.5,-3.127613309
2002-04-01,-172,20,-3.126447214
2012-03-01,-68,19,-3.12467326
2001-03-01,-83.5,24,-3.124039783
2003-07-01,-157.5,22.5,-3.124019103
2008-02-01,-143.5,-12.5,-3.123762768
2007-12-01,-130.5,2.5,-3.123699943
2009-11-01,-137,11.5,-3.122978807
2005-03-01,-147,12,-3.122948105
2011-11-01,-57,18,-3.122754816
2010-10-01,-134.5,11,-3.121150187
2001-05-01,-65,19,-3.120741653
2003-11-01,-109.5,21.5,-3.120148701
2002-02-01,-147,-14.5,-3.119660532
2010-10-01,-135,9.5,-3.119111231
2011-03-01,-70,29.5,-3.117470133
2011-11-01,-150.5,17.5,-3.116838748
2006-07-01,-131,52,-3.116643599
2011-10-01,-147.5,17,-3.113545903
2003-01-01,-81.5,24,-3.11237687
2011-11-01,-62,17.5,-3.112210733
2008-06-01,-72,39.5,-3.112190123
2001-12-01,-69.5,16.5,-3.111877936
2002-04-01,-161,8.5,-3.111794706
2004-04-01,-162.5,10,-3.111794705
2004-04-01,-161.5,5.5,-3.111792018
2004-09-01,-118,33,-3.111791868
2007-11-01,-62.5,18,-3.111262709
2010-12-01,-155,-11.5,-3.110914322
2001-12-01,-74,17.5,-3.110070898
2008-01-01,-83,24.5,-3.109826721
2007-02-01,-80,25,-3.109780713
2008-04-01,-71,20.5,-3.109451008
2011-07-01,-159,25,-3.107969766
2004-12-01,-139.5,-10,-3.10721231
2008-11-01,-60.5,16,-3.105604091
2012-04-01,-161,15.5,-3.104505762
2005-06-01,-161.5,8.5,-3.100329725
2002-02-01,-142,-11.5,-3.099477044
2012-12-01,-158,-0.5,-3.097691574
1998-06-01,-70.5,41,-3.096910013
1999-11-01,-60,11.5,-3.096910013
1999-12-01,-64,17,-3.096910013
2010-11-01,-59,14.5,-3.096910013
2010-10-01,-65,35,-3.096910013
2010-07-01,-67,35,-3.096910013
1999-02-01,-69.5,28,-3.096910013
2011-11-01,-61.5,15.5,-3.096865957
2012-04-01,-157.5,4,-3.095998744
2004-12-01,-131.5,-3,-3.095198123
2002-12-01,-108.5,23,-3.09432266
2010-08-01,-70.5,40,-3.094171146
2011-11-01,-57.5,16,-3.093730612
2010-08-01,-71,41,-3.093537211
2002-02-01,-148.5,-16,-3.093279989
2012-02-01,-68.5,21.5,-3.090840907
2000-12-01,-66,14,-3.090008529
2012-12-01,-154,-6.5,-3.089864943
2003-11-01,-110,21,-3.088156873
2008-05-01,-148,-13.5,-3.084973285
2001-10-01,-106,18,-3.083771315
2009-03-01,-157.5,17,-3.083747803
2005-03-01,-144.5,5.5,-3.082610339
2004-11-01,-107.5,24,-3.081140205
2014-06-01,18.5,76.5,-3.080921908
2009-01-01,-83.5,27.5,-3.078965015
2008-12-01,-138.5,-9,-3.078167457
2012-07-01,-70.5,40,-3.07745098
2010-11-01,-67,17.5,-3.076441036
2010-04-01,-69,20,-3.076104998
2007-12-01,-143.5,-12,-3.073470168
2005-12-01,-114,15,-3.071037024
2011-03-01,-63,17,-3.070705937
2012-12-01,-151.5,-14,-3.069050456
2000-12-01,-70,14.5,-3.06754947
2006-12-01,-69,19.5,-3.064514493
2009-05-01,-140.5,2,-3.063422949
2001-11-01,-158,19.5,-3.059981845
2012-09-01,123,-14,-3.058476382
2008-12-01,-77,16.5,-3.057804073
2004-05-01,-148,45,-3.056754526
2007-12-01,-79.5,17.5,-3.056627136
2001-03-01,-76.5,18.5,-3.055955027
2007-12-01,-82,24.5,-3.05388575
2006-03-01,-158.5,15.5,-3.053083802
2006-03-01,-158.5,14.5,-3.052841969
2008-11-01,-111,16,-3.052841969
2009-03-01,-145.5,8.5,-3.052286423
2000-02-01,-83,26.5,-3.04947245
2006-05-01,-145,48,-3.049432222
2011-10-01,-146,16.5,-3.048998554
2009-05-01,-140,-6.5,-3.048626336
2008-12-01,-80.5,19.5,-3.048128095
2012-02-01,-142,-10.5,-3.046575383
2012-02-01,-81,24.5,-3.045757491
1999-04-01,-64.5,32,-3.045757491
2012-09-01,127,-12.5,-3.045757491
1999-11-01,-87,1.5,-3.045757491
