rivers,lat,lon, low, Mid, up
Sassandra,4.9,-6.2,36.53 ,63.75 ,102.90 
Subarnarekha,21.8,87.5,33.24 ,63.11 ,108.80 
Chaliyar,11.2,75.8,33.14 ,62.60 ,107.64 
Nemanus,55,21.1,10.51 ,62.16 ,154.02 
Narmada,21.7,72.6,32.72 ,61.85 ,106.76 
Anadyr,64.7,177.5,25.56 ,61.72 ,119.79 
Tagus,38.7,-9.1,11.65 ,60.70 ,144.54 
Kalu Ganga,6.6,79.9,22.50 ,59.94 ,119.62 
Grande,25.9,-99,26.31 ,59.50 ,112.13 
Clyde,55.9,-4.3,5.94 ,59.32 ,175.27 
Moyangjiang,23.4,116.6,24.02 ,58.81 ,113.94 
Grande de San Miguel,13,-88.6,29.53 ,58.56 ,103.58 
Passaic,40.8,-74.1,5.58 ,56.94 ,170.82 
Artibonite,19,-72.5,32.40 ,56.61 ,91.60 
Brenta,45.4,12,7.84 ,56.13 ,147.33 
Jiaojiang,28.7,121.2,22.88 ,56.01 ,108.82 
Kvichak,58.9,-157.5,5.56 ,55.62 ,166.60 
Wouri,4,9.7,30.59 ,54.61 ,90.13 
Sinú,9.2,-75.9,22.61 ,54.42 ,104.05 
Choshui,23.8,120.5,22.07 ,54.00 ,104.43 
Seyhan,37,35,17.42 ,53.91 ,111.67 
Parnaiba,-2.8,-41.8,21.24 ,53.82 ,105.56 
Naranjo,15.3,-91.3,28.12 ,53.56 ,92.89 
Pattani,6.9,101.3,21.21 ,52.95 ,103.16 
Kobuk,66.9,-157.2,5.19 ,52.42 ,155.92 
Cuanza,-9.1,13.2,30.02 ,52.30 ,83.65 
Escondido,11.4,-83.7,26.61 ,51.66 ,90.09 
Cai,10.6,106.7,24.94 ,50.94 ,91.66 
Rajang,2.1,112.1,15.03 ,50.89 ,108.55 
Ceyhan,36.8,35.3,16.39 ,50.61 ,104.78 
Krishna,16.4,81.5,26.24 ,49.91 ,85.80 
Lachish,31.5,34.6,5.60 ,49.44 ,138.85 
Indigirka,71,147.2,20.08 ,49.20 ,95.14 
Los Angeles,33.7,-118.2,4.79 ,48.91 ,146.21 
Scheldt,51.2,4.3,4.97 ,47.11 ,138.05 
