rivers,lat,lon, low, Mid, up
Saramacca,5.8,-55.8,0.82 ,1.44 ,2.34 
P?rnu,58.4,24.5,0.18 ,1.44 ,3.88 
Matanuska,61.5,-149.8,0.14 ,1.40 ,4.16 
Isser,36.7,2.8,0.57 ,1.39 ,2.72 
Balombo,-11.4,13.8,0.80 ,1.39 ,2.22 
Mehran,33.5,47.2,0.43 ,1.39 ,2.93 
Whanganui,-39.9,174.9,0.14 ,1.37 ,4.01 
Krka,45.8,14.8,0.32 ,1.37 ,3.12 
Sinaloa,25.6,-108.5,0.49 ,1.36 ,2.74 
Ruamahanga,-41.1,175.6,0.14 ,1.35 ,3.96 
Larona,-2.6,117.4,0.66 ,1.35 ,2.44 
Araguari,-0.1,-51.2,0.53 ,1.35 ,2.64 
San Lorenzo,9.3,-79.7,0.49 ,1.35 ,2.72 
Mad,47.1,21,0.13 ,1.33 ,3.99 
Skjalfandafljot,65.3,-17.2,0.12 ,1.31 ,4.04 
Alfios,37.6,21.3,0.20 ,1.29 ,3.29 
Kurobe,36.8,137.4,0.14 ,1.29 ,3.66 
Tillamook,45.5,-123.8,0.13 ,1.26 ,3.77 
Mahavavy Nord,-14.2,46.2,0.71 ,1.25 ,2.04 
Agri,40.6,15.3,0.17 ,1.24 ,3.25 
Jiquini?a,-10.8,-50.3,0.49 ,1.23 ,2.42 
Yuzhny Bug,47.2,31.3,0.68 ,1.23 ,2.05 
Basento,40.6,16.7,0.17 ,1.22 ,3.20 
Wadi Siham,15.2,43.3,0.69 ,1.20 ,1.93 
Sperchios,38.9,22.3,0.18 ,1.20 ,3.04 
Umbeluzi,-25.8,32.6,0.69 ,1.19 ,1.91 
"Kukalaya, Huahua",13.2,-83.2,0.61 ,1.18 ,2.07 
Rovuma,-11.3,40.3,0.68 ,1.18 ,1.88 
Digul,-7.6,138.9,0.66 ,1.17 ,1.91 
Licungo,-17.7,36.7,0.67 ,1.16 ,1.85 
Jagin,33.9,47.5,0.35 ,1.15 ,2.41 
Ayensu,5,-0.5,0.62 ,1.13 ,1.90 
Maticora,-3.6,134.3,0.61 ,1.13 ,1.92 
Baleine,50,-61.3,0.11 ,1.12 ,3.36 
Arnaud,60.3,-69.7,0.11 ,1.12 ,3.38 
Soto la Marina,24.2,-97.8,0.41 ,1.11 ,2.23 
Ness,57.1,-4.4,0.11 ,1.09 ,3.24 
Kamchea,42.3,27.5,0.44 ,1.06 ,2.04 
Curoca,-18,12.3,0.60 ,1.05 ,1.69 
Tirso,39.9,13.6,0.15 ,1.05 ,2.77 
Sella,43.3,0.6,0.13 ,1.04 ,2.82 
Hokitika,-42.7,170.9,0.11 ,1.03 ,3.03 
Kala Oya,8.1,80.5,0.38 ,1.02 ,2.04 
Marequelia,11.5,-75,0.37 ,1.01 ,2.04 
Khobi,42.4,42.1,0.35 ,1.00 ,2.05 
Aux Feuilles,58.1,-74.1,0.10 ,1.00 ,3.03 
Rapch,63.7,-64.1,0.30 ,0.99 ,2.09 
Misantia,20.4,42.7,0.36 ,0.99 ,1.99 
Annan,54.6,-3.3,0.10 ,0.98 ,2.90 
Jequetepeque,-7.4,-79.8,0.41 ,0.98 ,1.89 
Musone,43.3,13.4,0.14 ,0.98 ,2.57 
Alazeya,68.9,150.9,0.40 ,0.97 ,1.89 
Guadalhorce,36.7,-4.5,0.13 ,0.97 ,2.64 
Tet,42.7,2.9,0.11 ,0.97 ,2.71 
Fatala,10.1,-13.8,0.56 ,0.97 ,1.56 
Acaponeta,22.8,-105.4,0.35 ,0.94 ,1.90 
Conway,-42.4,172.5,0.09 ,0.94 ,2.77 
Piura,-5.2,-81.1,0.39 ,0.94 ,1.82 
Tarsus,37,34.9,0.31 ,0.94 ,1.94 
Kurinwas,12.3,-84.7,0.48 ,0.93 ,1.62 
Baluarte,24.2,-104.7,0.34 ,0.93 ,1.87 
Biferno,41.6,14.9,0.13 ,0.93 ,2.42 
Chico,37.9,-77.2,0.22 ,0.93 ,2.08 
Kidurong,4.3,114,0.28 ,0.92 ,1.96 
Nehalem,45.7,-123.9,0.09 ,0.91 ,2.74 
Tutong,4.9,114.9,0.17 ,0.91 ,2.20 
Cambongo,-8.8,13.4,0.52 ,0.91 ,1.46 
Knik,61.2,-149.5,0.09 ,0.91 ,2.71 
Yaqui,27.5,-109.7,0.33 ,0.90 ,1.81 
Petit Mecatina,51.1,-60,0.09 ,0.89 ,2.67 
Navia,43.5,-6.7,0.11 ,0.89 ,2.40 
Cihuatlan,19.6,-104.4,0.32 ,0.88 ,1.78 
Inguri,42.4,41.9,0.31 ,0.88 ,1.80 
Sarstoon,16,-88.7,0.42 ,0.88 ,1.61 
Austari-Vestari,63.8,-22.5,0.08 ,0.88 ,2.69 
Tehuantepec,16.4,-95.2,0.32 ,0.87 ,1.75 
Dhuudo,10.2,48.8,0.50 ,0.87 ,1.37 
Aruvi Aru,8.7,80.1,0.32 ,0.87 ,1.73 
Kemijoki,66.6,27,0.09 ,0.87 ,2.55 
Champoton,19.4,-89.6,0.31 ,0.85 ,1.70 
Ombrone,42.7,11.2,0.12 ,0.85 ,2.21 
Boko,-6.6,12.4,0.41 ,0.85 ,1.53 
Coquille,43.1,-124.3,0.09 ,0.84 ,2.53 
Rega,54.2,14.8,0.13 ,0.84 ,2.11 
Back,67.5,-96.8,0.08 ,0.83 ,2.49 
Alsea,44.5,-123.9,0.08 ,0.83 ,2.48 
Chienti,43.2,13.1,0.11 ,0.81 ,2.13 
Salado,36.5,-64.7,0.19 ,0.81 ,1.82 
Wadi Araba,31,35.2,0.39 ,0.81 ,1.46 
Vaidala,-10.7,59.8,0.45 ,0.81 ,1.33 
Cubal,-13.8,13.1,0.47 ,0.81 ,1.29 
Numedalslagen,59.6,8.3,0.07 ,0.81 ,2.61 
Kaituna,-37.7,20.1,0.08 ,0.80 ,2.34 
Lamone,44.2,12.2,0.11 ,0.80 ,2.09 
Siuslaw,43.8,-123.9,0.08 ,0.79 ,2.36 
Candelaria,-44.3,-90.5,0.29 ,0.79 ,1.59 
Mulatos,18.6,-73.9,0.32 ,0.77 ,1.49 
Black,27.3,-77,0.07 ,0.77 ,2.41 
Santa Clara,34,-119,0.08 ,0.76 ,2.27 
Sondags,-33.3,23.5,0.37 ,0.76 ,1.38 
Supsa,42,41.8,0.26 ,0.75 ,1.54 
Moche,-6.8,-78,0.31 ,0.75 ,1.45 
Kyronjoki,63.1,23,0.08 ,0.75 ,2.20 
San Juan,10,-84.7,0.40 ,0.74 ,1.25 
Belize,17.5,-88.5,0.35 ,0.74 ,1.34 
Tafna,35,-1,0.30 ,0.73 ,1.42 
Deveron,57.7,-2.1,0.07 ,0.73 ,2.16 
Mano,7.9,-13.2,0.42 ,0.72 ,1.15 
Wailuku,20.9,-156.5,0.07 ,0.72 ,2.14 
Hondo,23.8,-102.2,0.26 ,0.72 ,1.44 
Fortore,41.4,15.3,0.10 ,0.72 ,1.87 
Kem,64.5,34.7,0.29 ,0.71 ,1.38 
Segama,5,118,0.21 ,0.71 ,1.51 
Conon,57.6,-4.5,0.07 ,0.71 ,2.12 
Ancho,19.4,-100.8,0.30 ,0.71 ,1.36 
Grey,-45.4,170.2,0.07 ,0.70 ,2.05 
Aisen,-45,-72.7,0.14 ,0.70 ,1.64 
Foglia,43.8,12.8,0.10 ,0.70 ,1.83 
Mananara Sud,-16,49,0.39 ,0.70 ,1.13 
Coos,43.2,-124.1,0.07 ,0.69 ,2.07 
Sangro,41.9,14.4,0.09 ,0.68 ,1.78 
Malaren-Norrstrom,59.3,18.1,0.06 ,0.68 ,2.08 
Marecchia,44,12.7,0.09 ,0.67 ,1.76 
Tenna,42.9,13.8,0.09 ,0.67 ,1.75 
Sembakung,4,117.5,0.32 ,0.67 ,1.20 
Ofanto,41.2,15.9,0.09 ,0.66 ,1.75 
Mackenzie,62.5,-134,0.06 ,0.66 ,2.01 
Souss,30,-9.7,0.34 ,0.66 ,1.16 
Lupar,1.4,111.2,0.20 ,0.66 ,1.40 
Earn,56.4,-3.8,0.07 ,0.66 ,1.96 
Tarawera,-38.1,176.5,0.07 ,0.65 ,1.88 
Staaten,-17.8,141.3,0.06 ,0.64 ,2.00 
Lapuanjoki,62.8,23,0.06 ,0.63 ,1.86 
San Diego,32.7,-117.2,0.06 ,0.63 ,1.87 
Curimataú,-6.6,-35.8,0.25 ,0.63 ,1.23 
Tronto,42.8,13.7,0.09 ,0.62 ,1.64 
Louros,39.2,20.7,0.09 ,0.62 ,1.58 
Laxa,65.6,-21.3,0.06 ,0.62 ,1.90 
Misa,43.5,13.1,0.08 ,0.61 ,1.60 
Sinni,40,-69,0.08 ,0.61 ,1.60 
Povungnituk,60,104.8,0.06 ,0.61 ,1.84 
Bian,33.5,39.3,0.34 ,0.60 ,0.99 
Ligonha,-14.8,9.7,0.35 ,0.60 ,0.96 
Mananan Tanana,63,12.6,0.34 ,0.60 ,0.97 
Huab,48.3,42,0.31 ,0.59 ,1.03 
Devrekani,42.4,-4.2,0.19 ,0.59 ,1.22 
Tamar,32.5,-117,0.05 ,0.58 ,2.01 
