river_lat,river_lon,orig_lat_idx,orig_lon_idx,proj_lat_idx,proj_lon_idx,shift_grid,emission
71.0,147.2,75,74,69,74,6.0,49.2
51.2,4.3,65,2,66,2,1.0,47.11
18.1,-94.4,48,0,43,1,5.0990195135927845,46.67
18.4,-65.9,49,0,43,1,6.082762530298219,46.54
22.9,120.3,51,60,51,60,0.0,46.4
20.5,-97.0,50,0,43,1,7.0710678118654755,46.21
7.8,81.2,43,41,43,41,0.0,45.89
5.2,-5.2,42,0,42,0,0.0,45.77
57.0,24.1,68,12,68,5,7.0,45.26
47.9,-122.2,63,0,66,1,3.1622776601683795,44.73
15.2,-84.3,47,0,43,1,4.123105625617661,43.25
20.0,110.3,49,55,49,55,0.0,42.79
34.4,119.3,56,60,57,60,1.0,42.72
51.5,-2.4,65,0,66,1,1.4142135623730951,42.49
36.0,126.6,57,63,56,63,1.0,42.2
35.5,-76.7,57,0,66,1,9.055385138137417,41.75
-2.3,138.3,38,69,38,70,1.0,41.62
41.9,12.5,60,6,66,2,7.211102550927978,41.54
5.4,115.8,42,58,42,59,1.0,41.54
3.2,101.5,41,51,40,51,1.0,40.69
9.2,-83.3,44,0,43,1,1.4142135623730951,39.81
64.5,40.5,71,20,72,19,1.4142135623730951,39.8
53.7,-2.9,66,0,67,0,1.0,38.71
7.6,125.8,43,63,43,63,0.0,38.6
17.1,-61.8,48,0,43,1,5.0990195135927845,38.58
36.4,127.3,57,64,57,64,0.0,38.54
-4.5,11.4,37,6,37,5,1.0,38.04
5.1,-2.0,42,0,42,0,0.0,37.74
9.9,76.5,44,38,44,39,1.0,37.37
38.7,139.8,59,70,59,71,1.0,37.32
-8.4,143.8,35,72,35,72,0.0,36.78
-7.9,39.0,36,19,36,19,0.0,36.41
5.3,103.1,42,52,42,52,0.0,36.36
-5.2,105.3,37,53,37,53,0.0,35.86
43.0,17.3,61,9,68,5,8.06225774829855,35.74
6.4,2.6,43,1,43,1,0.0,35.66
5.6,118.4,42,59,42,59,0.0,34.93
21.2,72.6,50,36,49,35,1.4142135623730951,34.85
-17.5,147.1,31,74,31,74,0.0,34.76
-28.9,31.5,25,16,25,16,0.0,34.35
41.4,-73.1,60,0,66,1,6.082762530298219,34.07
-39.3,-73.4,20,0,20,0,0.0,33.78
-7.9,110.4,36,55,37,55,1.0,33.23
33.2,130.4,56,65,56,64,1.0,33.22
6.7,125.2,43,63,43,63,0.0,32.99
9.9675,76.2436,44,38,44,39,1.0,32.86
3.4,-76.6,41,0,41,0,0.0,32.63
-6.0,106.2,37,53,37,53,0.0,32.61
43.3,-3.0,61,0,66,1,5.0990195135927845,32.57
67.6,-162.4,73,0,72,0,1.0,32.34
9.1,77.2,44,39,44,39,0.0,32.09
41.9,-8.8,60,0,66,1,6.082762530298219,32.07
-2.5,112.9,38,56,37,56,1.0,31.57
-7.4,144.2,36,72,35,72,1.0,31.13
-29.8,31.1,25,16,25,16,0.0,30.67
-0.7,10.2,39,5,39,4,1.0,30.5
38.3,141.1,58,71,58,71,0.0,30.5
-15.3,-39.2,32,0,32,0,0.0,30.36
46.6,30.5,63,15,72,18,9.486832980505138,30.22
41.1,-8.7,60,0,66,1,6.082762530298219,30.05
40.7,0.2,60,0,66,1,6.082762530298219,28.74
-4.8,105.3,37,53,37,53,0.0,28.54
43.5,-1.5,61,0,66,1,5.0990195135927845,28.37
45.6,12.4,62,6,66,2,5.656854249492381,28.21
56.0,159.0,67,79,66,79,1.0,28.15
-7.1,-35.0,36,0,36,0,0.0,27.89
34.7,137.8,57,69,57,69,0.0,27.49
71.7,130.5,75,65,69,71,8.48528137423857,27.2
-0.9,105.6,39,53,39,53,0.0,26.98
38.0,139.0,58,69,57,69,1.0,26.19
0.7,101.2,40,51,40,51,0.0,26.09
-6.5,108.5,36,54,37,54,1.0,25.79
36.5,-76.0,58,0,66,1,8.06225774829855,25.48
44.8,-0.6,62,0,66,1,4.123105625617661,25.36
2.1,45.3,41,23,41,23,0.0,24.52
24.5,121.8,52,61,52,61,0.0,24.5
